00000000,0.0229,-0.022583,-0.968445,-0.404358,0.373840,0.076294
00000051,0.0000,-0.065796,-0.983826,-0.770569,0.526428,-0.617981
00000102,0.0161,-0.022583,-0.972107,-0.694275,-0.083923,-1.029968
00000152,0.0332,-0.009888,-0.989685,0.572205,1.464844,-0.343323
00000203,0.0168,-0.038696,-1.006775,0.244141,0.709534,0.198364
00000254,-0.0002,-0.043335,-0.983093,-0.396729,0.915527,-0.045776
00000304,0.0820,-0.008179,-0.986023,0.228882,0.228882,-3.074646
00000355,0.0764,-0.090942,-0.978699,-0.701904,0.404358,10.437012
00000406,-0.0552,0.021606,-0.959167,-0.740051,-0.068665,13.412476
00000457,0.0256,-0.046997,-0.989197,-0.778198,0.747681,0.579834
00000507,0.0371,-0.059448,-0.972595,-0.137329,0.602722,0.518799
00000558,0.0391,-0.032349,-0.978943,0.411987,0.061035,-0.061035
00000609,0.0007,-0.015747,-0.959167,-0.717163,0.381470,0.061035
00000660,0.0071,-0.037476,-1.001892,-1.060486,-0.473022,-3.631592
00000710,0.0171,-0.023804,-0.985046,-0.595093,0.099182,-0.267029
00000761,-0.0313,-0.079956,-0.963318,-0.488281,-1.281738,-14.122009
00000812,0.1384,-0.011841,-1.021179,-2.204895,0.190735,-8.567810
00000863,0.0090,-0.027954,-0.991394,0.556946,1.098633,0.259399
00000913,-0.0007,-0.034302,-0.981384,-0.816345,-0.106812,0.236511
00000964,0.0200,-0.078735,-0.981384,-1.106262,0.091553,-1.434326
00001015,0.0254,-0.034546,-0.982849,0.236511,1.441956,-0.656128
00001065,-0.0188,-0.055298,-0.983093,-1.380920,-0.328064,-1.266479
00001116,-0.0017,-0.019165,-0.980896,0.610352,1.098633,-0.350952
00001167,0.0205,-0.037476,-1.003845,-0.602722,0.419617,0.144958
00001218,-0.0066,-0.046997,-0.984070,-1.876831,-0.358582,-0.648499
00001268,-0.0066,-0.046997,-0.984070,-1.876831,-0.358582,-0.648499
00001369,0.0225,-0.014771,-0.988464,-0.083923,0.434875,0.236511
00001420,0.0007,-0.023315,-0.956238,-0.122070,0.953674,0.091553
00001471,0.0244,0.007690,-0.982605,-1.197815,0.091553,-0.869751
00001521,0.0215,-0.024780,-0.990662,-0.648499,0.030518,-3.479004
00001572,0.2417,-0.084839,-0.978210,0.312805,-0.946045,-6.385803
00001623,-0.0735,-0.021851,-0.993347,-0.648499,1.152039,4.158020
00001674,-0.2166,-0.002319,-0.969177,0.129700,0.205994,21.919250
